Company;Market Value;Revenue;Profits;Assets;Rank;Sector;Industry;Continent;Country;Headquarters;State;CEO;Forbes Webpage
ALFA;11,018;17,2;-0,1697;15,776;1036;Industrials;Conglomerates;North America;Mexico;Mexico;;Alvaro Garza;http://www.forbes.com/companies/alfa/
BYD;20,899;9,335;0,0697;15,153;1037;Consumer Discretionary;Auto & Truck Manufacturers;Asia;China;China;;Wang Chuan-Fu;http://www.forbes.com/companies/byd/
Shanghai Construction;8,283;18,154;0,2876;18,869;1038;Industrials;Construction Services;Asia;China;China;;Hang Yingwei;http://www.forbes.com/companies/shanghai-construction/
Galp Energia;9,203;23,923;-0,2298;15,991;1039;Energy;Oil & Gas Operations;Europe;Portugal;Portugal;;Manuel De Oliveira;http://www.forbes.com/companies/galp-energia/
Cencosud;7,228;19,284;0,3367;17,896;1040;Consumer Discretionary;Specialty Stores;South America;Chile;Chile;;Jaime Bottinelli;http://www.forbes.com/companies/cencosud/
Keyence;33,486;2,974;1,0366;7,884;1040;Information Technology;Electronics;Asia;Japan;Japan;;Akinori Yamamoto;http://www.forbes.com/companies/keyence/
BorgWarner;14,09;8,304;0,6558;7,228;1042;Consumer Discretionary;Auto & Truck Parts;North America;United States;Michigan;Michigan;James Verrier;http://www.forbes.com/companies/borgwarner/
Mediolanum;6,132;6,953;0,4253;51,399;1043;Financials;Life & Health Insurance;Europe;Italy;Italy;;Ennio Doris;http://www.forbes.com/companies/mediolanum/
Advanced Info Service;22,468;4,597;1,1093;3,842;1044;Telecommunication Services;Telecommunications services;Asia;Thailand;Thailand;;Somchai Lertsutiwong;http://www.forbes.com/companies/advanced-info-service/
Fluor;8,705;21,532;0,5109;8,194;1045;Industrials;Construction Services;North America;United States;Texas;Texas;David Seaton;http://www.forbes.com/companies/fluor/
Cielo;24,215;3,282;1,3679;7,027;1046;Consumer Discretionary;Business & Personal Services;South America;Brazil;Brazil;;Rômulo De Mello Dias;http://www.forbes.com/companies/cielo/
Boston Scientific;23,677;7,38;0,267;17,042;1047;Health Care;Medical Equipment & Supplies;North America;United States;Massachusetts;Massachusetts;Michael Mahoney;http://www.forbes.com/companies/boston-scientific/
Shengjing Bank;4,383;4,351;0,8772;81,136;1048;Financials;Regional Banks;Asia;China;China;;Wang Chunsheng;http://www.forbes.com/companies/shengjing-bank/
Guangzhou R&F;3,379;5,634;1,0637;27,698;1049;Financials;Real Estate;Asia;China;China;;Li Zhang;http://www.forbes.com/companies/guangzhou-rf/
Dover;11,447;8,003;0,7752;9,09;1050;Industrials;Conglomerates;North America;United States;Illinois;Illinois;Robert Livingston;http://www.forbes.com/companies/dover/
Nielsen Holdings;17,018;6,288;0,384;15,376;1051;Consumer Discretionary;Printing & Publishing;North America;United States;New York;New York;Dwight Barns;http://www.forbes.com/companies/nielsen/
Onex;6,479;19,793;-0,115;28,936;1052;Financials;Investment Services;North America;Canada;Canada;;Gerald Schwartz;http://www.forbes.com/companies/onex/
Dongbu Insurance;2,853;11,994;0,4009;31,957;1053;Financials;Property & Casualty Insurance;Asia;South Korea;South Korea;;Jeong-Nam Kim;http://www.forbes.com/companies/dongbu-insurance/
Cemig;5,902;8,301;1,3326;13,167;1054;Utilities;Electric Utilities;South America;Brazil;Brazil;;Mauro Lemos;http://www.forbes.com/companies/cemig/
Harley-Davidson;13;6,229;0,8446;9,528;1054;Consumer Discretionary;Recreational Products;North America;United States;Wisconsin;Wisconsin;Keith Wandell;http://www.forbes.com/companies/harley-davidson/
PartnerRe;5,435;6,35;1,055;22,27;1056;Financials;Diversified Insurance;North America;Bermuda;Bermuda;;David Zwiener;http://www.forbes.com/companies/partnerre/
Huishang Bank;5,131;3,971;0,9206;77,815;1057;Financials;Regional Banks;Asia;China;China;;Xue Wu;http://www.forbes.com/companies/huishang-bank/
China National Chemical;7,909;10,807;0,5595;12,935;1058;Industrials;Construction Services;Asia;China;China;;Lu Hongxing;http://www.forbes.com/companies/china-national-chemical/
Host Hotels & Resorts;15,397;5,354;0,623;12,207;1058;Financials;Real Estate;North America;United States;Maryland;Maryland;W Walter;http://www.forbes.com/companies/host-hotels-resorts/
Shanghai Pharmaceuticals;9,884;14,967;0,4205;10,371;1058;Consumer Staples;Drug Retail;Asia;China;China;;Lou Dingbo;http://www.forbes.com/companies/shanghai-pharmaceuticals/
Avago Technologies;32,285;5,195;0,48;10,697;1061;Information Technology;Semiconductors;Asia;Singapore;Singapore;;Hock Tan;http://www.forbes.com/companies/avago-technologies/
Raiffeisen Bank International;4,284;11,181;-0,6539;147,165;1061;Financials;Regional Banks;Europe;Austria;Austria;;Karl Sevelda;http://www.forbes.com/companies/raiffeisen-bank-international/
Ajinomoto;13,733;9,263;0,4307;10,573;1063;Consumer Staples;Food Processing;Asia;Japan;Japan;;Masatoshi Ito;http://www.forbes.com/companies/ajinomoto/
Alleghany;7,849;5,241;0,6792;23,97;1064;Financials;Property & Casualty Insurance;North America;United States;New York;New York;Weston Hicks;http://www.forbes.com/companies/alleghany/
China Cosco Holdings;10,216;10,432;0,0565;23,988;1065;Industrials;Other Transportation;Asia;China;China;;Li Jiang;http://www.forbes.com/companies/china-cosco-holdings/
Suntory Beverage & Food;13,382;11,878;0,3424;11,586;1066;;;Asia;Japan;Japan;;Nobuhiro Torii;http://www.forbes.com/companies/suntory-beverage-food/
WR Berkley;6,367;7,129;0,6489;21,717;1067;Financials;Property & Casualty Insurance;North America;United States;Connecticut;Connecticut;William Berkley;http://www.forbes.com/companies/wr-berkley/
Grupo Bimbo;14,042;14,187;0,2868;12,016;1068;Consumer Staples;Food Processing;North America;Mexico;Mexico;;Daniel Servitje Montull;http://www.forbes.com/companies/grupo-bimbo/
Zijin Mining Group;13,4;9,398;0,3804;12,115;1069;Materials;Diversified Metals & Mining;Asia;China;China;;Wang Jianhua;http://www.forbes.com/companies/zijin-mining-group/
Idemitsu Kosan;2,82;46,803;-0,5955;24,949;1070;Energy;Oil & Gas Operations;Asia;Japan;Japan;;Takashi Tsukioka;http://www.forbes.com/companies/idemitsu-kosan/
UBI Banca;7,445;6,646;-0,9627;147,368;1070;Financials;Regional Banks;Europe;Italy;Italy;;Victor Massiah;http://www.forbes.com/companies/ubi-banca/
Air France-KLM;2,747;33,095;-0,263;28,108;1072;Industrials;Airline;Europe;France;France;;Alexandre De Juniac;http://www.forbes.com/companies/air-france-klm/
TRW Automotive Holdings;12,063;17,539;0,293;11,294;1073;Consumer Discretionary;Auto & Truck Parts;North America;United States;Michigan;Michigan;John Plant;http://www.forbes.com/companies/trw-automotive-holdings/
Catamaran;12,292;21,582;0,3173;9,324;1074;Health Care;Healthcare Services;North America;United States;Illinois;Illinois;Mark Thierer;http://www.forbes.com/companies/catamaran/
Oneok;10,202;12,227;0,3141;15,305;1075;Energy;Oil Services & Equipment;North America;United States;Oklahoma;Oklahoma;Terry Spencer;http://www.forbes.com/companies/oneok/
Fiserv;19,004;5,066;0,754;9,562;1076;Information Technology;Software & Programming;North America;United States;Wisconsin;Wisconsin;Jeffery Yabuki;http://www.forbes.com/companies/fiserv/
SES;18,589;2,546;0,7969;12,043;1076;Consumer Discretionary;Broadcasting & Cable;Europe;Luxembourg;Luxembourg;;Karim Sabbagh;http://www.forbes.com/companies/ses/
W&W-Wüstenrot;1,826;9,058;0,313;96,853;1078;Financials;Investment Services;Europe;Germany;Germany;;Alexander Erdland;http://www.forbes.com/companies/ww-wustenrot/
Singapore Airlines;10,338;12,087;0,2804;17,745;1079;Industrials;Airline;Asia;Singapore;Singapore;;Choon Goh;http://www.forbes.com/companies/singapore-airlines/
Tokyu;8,045;9,966;0,4223;16,589;1080;Industrials;Railroads;Asia;Japan;Japan;;Hirofumi Nomoto;http://www.forbes.com/companies/tokyu/
XL Group;9,571;6,756;0,1883;45,047;1081;Financials;Diversified Insurance;Europe;Ireland;Ireland;;Michael Mcgavick;http://www.forbes.com/companies/xl-group/
